1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.883202,
1.001737,1.000000,1.000000,1.000000,1.000000,1.000000,1.883202,
1.001737,1.000000,1.000000,1.000000,1.515849,1.000000,3.441978,
1.001737,1.000000,1.000000,1.000000,1.515849,1.000000,3.441978,
1.001737,1.000000,1.000000,1.000000,1.515849,1.000000,3.441978,
1.001737,1.000000,1.000000,1.000000,1.515849,1.000000,3.441978,
1.001737,1.000000,1.000000,1.000000,1.635786,1.000000,3.441978,
1.057477,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.057477,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.057477,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.000000,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.069820,1.000000,1.190101,1.635786,1.000000,3.441978,
1.063112,1.069820,1.277626,1.190101,1.635786,1.000000,3.441978,
1.254229,1.069820,1.277626,1.190101,1.635786,1.206177,3.441978,
1.254229,1.218200,1.277626,1.190101,1.635786,1.206177,3.324303,
1.254229,1.218200,1.277626,1.190101,1.635786,1.206177,3.324303,
1.435546,1.218200,1.136881,1.190101,1.635786,1.454402,3.324303,
1.358334,1.393636,0.976963,1.190101,1.635786,1.454402,6.421576,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,1.635786,1.454402,5.807908,
1.358334,1.392854,0.976963,1.190101,2.628108,1.454402,5.807908,
1.358334,1.392854,1.204850,1.190101,2.628108,1.454402,12.363479,
1.358334,1.392854,1.204850,1.190101,2.628108,1.454402,12.174720,
1.358334,1.392854,1.204850,1.190101,2.628108,1.454402,12.174720,
1.372235,1.392854,1.204850,1.190101,2.628108,1.454402,12.174720,
1.287340,1.370596,1.204850,1.190101,2.628108,1.454402,12.174720,
1.287340,1.370596,1.204850,1.190101,8.083633,1.454402,7.621162,
