5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,
5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,
5.000000,1.867522,5.000000,3.642045,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,
5.000000,1.867522,5.000000,3.642045,5.000000,5.000000,1.474541,5.000000,5.000000,5.348585,5.000000,
2.603738,1.867522,5.000000,3.642045,5.000000,1.764341,1.474541,5.000000,5.000000,5.348585,5.000000,
2.603738,1.867522,5.000000,3.642045,5.000000,1.764341,1.474541,5.000000,5.000000,5.348585,5.000000,
2.603738,1.867522,5.000000,3.642045,5.000000,1.764341,1.474541,5.000000,5.000000,5.348585,5.000000,
2.603738,1.867522,2.187060,5.514662,5.000000,1.764341,1.474541,5.000000,5.000000,3.626218,5.000000,
1.700639,1.867522,2.187060,5.514662,5.000000,2.850272,1.474541,5.000000,5.000000,4.301479,5.000000,
1.700639,1.867522,3.170536,5.514662,3.234423,2.850272,1.474541,6.827139,3.156640,4.301479,5.000000,
1.700639,1.867522,3.170536,5.514662,3.234423,3.453793,1.474541,6.827139,4.713407,4.987401,5.000000,
1.700639,1.867522,3.170536,5.514662,3.234423,3.453793,1.474541,7.033435,4.713407,4.987401,3.076089,
1.700639,1.867522,3.170536,5.698168,3.234423,5.991169,1.474541,7.033435,4.713407,5.186446,0.899969,
1.700639,1.867522,3.170536,3.558036,3.234423,6.954668,1.474541,7.033435,4.422734,5.186446,0.899969,
1.700639,1.867522,3.170536,3.558036,3.234423,6.954668,1.474541,7.033435,4.422734,6.131009,0.899969,
1.700639,1.867522,3.170536,3.558036,4.787350,6.954668,1.474541,7.033435,4.422734,7.067642,0.899969,
1.700639,1.867522,3.170536,3.558036,4.787350,1.956374,1.359650,7.033435,4.422734,7.874942,0.899969,
1.700639,1.867522,3.170536,3.833885,4.787350,1.956374,1.359650,7.033435,6.121275,7.874942,0.899969,
1.700639,1.867522,3.170536,3.833885,4.787350,9.082467,1.465711,7.033435,6.121275,10.008930,1.372879,
1.700639,1.867522,3.170536,2.793843,4.787350,9.082467,1.465711,7.033435,6.121275,10.008930,1.372879,
1.700639,1.867522,3.170536,2.793843,4.787350,11.023314,1.465711,7.893452,5.783057,10.008930,1.372879,
1.700639,1.867522,3.170536,2.793843,4.787350,11.023314,1.465711,7.893452,5.783057,10.008930,1.372879,
1.700639,1.867522,3.170536,2.793843,4.787350,17.953933,1.465711,7.790095,5.783057,9.799979,1.357641,
1.700639,1.867522,3.170536,2.793843,3.426047,13.542219,1.465711,7.790095,5.742639,9.799979,1.357641,
1.700639,1.867522,3.170536,2.793843,3.426047,13.542219,1.465711,7.790095,5.742639,9.799979,1.357641,
1.700639,1.867522,3.170536,2.793843,3.426047,9.703462,1.465711,7.036207,5.055258,9.799979,1.357641,
1.555950,1.867522,3.170536,2.793843,3.966443,9.703462,2.715008,7.036207,5.055258,9.799979,1.357641,
1.555950,1.867522,3.170536,3.090774,3.037307,14.403298,2.715008,7.036207,9.994470,8.441910,1.357641,
1.555950,1.867522,3.170536,3.090774,3.037307,15.526153,1.893598,7.036207,9.994470,9.137770,0.865532,
1.555950,1.867522,3.170536,3.090774,3.037307,16.576428,1.893598,7.036207,9.994470,9.685918,0.865532,
1.555950,1.867522,3.170536,2.447153,3.037307,16.576428,1.893598,7.036207,9.994470,9.685918,0.865532,
1.555950,1.867522,3.170536,3.221150,3.037307,10.787729,1.893598,7.036207,9.994470,9.685918,0.865532,
1.555950,1.867522,3.170536,3.221150,3.988825,18.951479,1.893598,7.036207,11.047895,9.685918,0.865532,
